2Theta,Intensity
26.829,100
34.027,52.3
38.306,7
39.2,21.7
43.039,6.7
52.158,57.7
55.29,15.8
57.969,9.5
62.498,7.5
63.127,0.5
64.993,10.3
66.535,18
69.857,1.2
71.634,2
72.524,0.2
74.855,1.2
79.461,3.4
82.02,2.2
84.272,5.8
85.123,0.8
88.213,2.5
90.449,3.8
91.856,4.3
94.385,1.9
96.343,1.5
99.456,0.5
99.747,0.1
101.178,0.4
109.011,4.1
109.316,2
110.217,0.1
112.619,0.6
113.54,1.9
116.004,2.5
117.579,3.8
119.158,0.1
122.755,2.7
123.098,2.4
126.503,0.2
132.708,4.3
136.247,0.5
139.142,1.2
144.606,0.2
146.096,0.5
147.112,0.2
