2Theta,Intensity
26.83,1000.0
26.90,500.0
34.01,577.5
34.10,288.8
38.31,86.0
38.41,43.0
39.19,194.0
39.29,97.0
43.05,61.3
43.16,30.6
52.15,691.2
52.29,345.6
55.30,196.3
55.45,98.2
57.92,112.6
58.08,56.3
62.51,102.1
62.68,51.0
63.12,6.1
63.30,3.0
64.95,139.2
65.13,69.6
66.53,240.9
66.72,120.5
69.85,13.5
70.05,6.8
71.59,30.5
71.80,15.3
72.54,2.4
72.74,1.2
74.82,13.6
75.04,6.8
79.46,52.7
79.70,26.4
82.03,32.6
82.28,16.3
84.24,81.0
84.50,40.5
85.14,9.4
85.40,4.7
88.23,36.4
88.50,18.2
90.42,54.5
90.70,27.3
91.86,63.8
92.15,31.9
94.40,25.9
94.71,12.9
94.95,0.5
95.26,0.3
96.25,20.4
96.57,10.2
99.37,4.5
99.70,2.3
99.72,1.2
100.06,0.6
101.18,3.8
101.53,1.9
108.92,45.6
109.32,22.8
109.29,21.9
109.69,10.9
110.24,1.0
110.65,0.5
112.59,5.7
113.02,2.9
113.56,20.7
114.00,10.3
115.98,25.6
116.43,12.8
117.59,37.0
118.06,18.5
119.06,0.4
119.55,0.2
121.13,0.0
121.64,0.0
122.66,23.1
123.18,11.6
123.07,20.2
123.60,10.1
124.15,0.0
124.68,0.0
126.40,1.1
126.97,0.6
132.73,34.4
133.38,17.2
136.29,4.5
137.00,2.3
139.02,8.2
139.79,4.1
144.57,0.8
145.47,0.4
146.15,2.8
147.10,1.4
147.14,1.2
148.12,0.6
150.31,18.1
151.40,9.1
151.12,3.5
152.25,1.8
159.74,4.4
161.40,2.2
161.39,0.0
163.22,0.0
166.00,11.0
168.56,5.5
169.52,6.3
173.31,3.1
