2Theta,Intensity
20.0084,7218.7827
20.0254,7212.4941
20.0424,7206.2055
20.0594,7199.9171
20.0764,7194.5843
20.0934,7188.3008
20.1104,7182.0174
20.1274,7175.7341
20.1444,7169.9287
20.1614,7163.648
20.1784,7157.3675
20.1954,7151.087
20.2124,7144.8067
20.2294,7138.5266
20.2464,7132.2466
20.2634,7125.9667
20.2804,7119.5283
20.2974,7113.0899
20.3144,7106.6518
20.3314,7100.2138
20.3484,7093.7759
20.3654,7087.3382
20.3824,7080.9006
20.3994,7074.4632
20.4164,7068.026
20.4334,7061.5889
20.4504,7055.152
20.4674,7048.7153
20.4844,7042.2787
20.5014,7035.8423
20.5184,7029.4061
20.5354,7022.9701
20.5524,7016.5342
20.5694,7010.0985
20.5864,7003.663
20.6034,6997.2277
20.6204,6990.7926
20.6374,6984.3577
20.6544,6977.923
20.6714,6971.4884
20.6884,6965.0541
20.7054,6958.62
20.7224,6952.1861
20.7394,6945.7524
20.7564,6939.3189
20.7734,6932.8857
20.7904,6926.2939
20.8074,6919.7024
20.8244,6913.111
20.8414,6906.52
20.8584,6899.9291
20.8754,6893.3385
20.8924,6886.7482
20.9094,6880.158
20.9264,6873.5682
20.9434,6866.9786
20.9604,6860.3892
20.9774,6853.8002
20.9944,6847.2114
21.0114,6840.6228
21.0284,6834.0346
21.0454,6830.4546
21.0624,6826.875
21.0794,6823.2956
21.0964,6819.7166
21.1134,6816.1378
21.1304,6812.5594
21.1474,6808.9812
21.1644,6805.4034
21.1814,6801.8259
21.1984,6798.2487
21.2154,6794.6719
21.2324,6791.0954
21.2494,6787.5193
21.2664,6783.9435
21.2834,6780.3681
21.3004,6776.6546
21.3174,6772.9414
21.3344,6769.2286
21.3514,6765.5162
21.3684,6761.8042
21.3854,6758.0926
21.4024,6754.3814
21.4194,6750.6706
21.4364,6746.9602
21.4534,6743.2503
21.4704,6739.5409
21.4874,6735.8318
21.5044,6732.1233
21.5214,6728.4152
21.5384,6724.7076
21.5554,6721.0005
21.5724,6717.2939
21.5894,6713.5878
21.6064,6709.8822
21.6234,6706.1772
21.6404,6702.4727
21.6574,6698.7687
21.6744,6695.0654
21.6914,6691.3626
21.7084,6687.6604
21.7254,6683.9587
21.7424,6680.2577
21.7594,6676.5574
21.7764,6672.8577
21.7934,6669.1586
21.8104,6665.3217
21.8274,6661.4855
21.8444,6657.6499
21.8614,6653.8151
21.8784,6649.9811
21.8954,6646.1478
21.9124,6642.3152
21.9294,6638.4834
21.9464,6634.6525
21.9634,6630.8223
21.9804,6626.993
21.9974,6623.1646
22.0144,6619.3371
22.0314,6615.5104
22.0484,6611.6847
22.0654,6607.6885
22.0824,6603.6932
22.0994,6599.6989
22.1164,6595.7057
22.1334,6591.7135
22.1504,6587.7224
22.1674,6583.7324
22.1844,6579.7435
22.2014,6575.7558
22.2184,6571.7693
22.2354,6567.784
22.2524,6563.7999
22.2694,6559.8172
22.2864,6555.8358
22.3034,6551.8557
22.3204,6547.9387
22.3374,6544.0231
22.3544,6540.109
22.3714,6536.1964
22.3884,6532.2854
22.4054,6528.3761
22.4224,6524.4683
22.4394,6520.5623
22.4564,6516.6581
22.4734,6512.7556
22.4904,6508.855
22.5074,6504.9564
22.5244,6501.0597
22.5414,6497.1651
22.5584,6493.2726
22.5754,6489.2655
22.5924,6485.2607
22.6094,6481.2583
22.6264,6477.2582
22.6434,6473.2606
22.6604,6469.2655
22.6774,6465.2731
22.6944,6461.2834
22.7114,6457.2966
22.7284,6453.3127
22.7454,6449.3318
22.7624,6445.354
22.7794,6441.3795
22.7964,6437.4084
22.8134,6433.4407
22.8304,6429.4767
22.8474,6425.5164
22.8644,6421.56
22.8814,6417.6076
22.8984,6413.6594
22.9154,6409.7156
22.9324,6405.7763
22.9494,6401.8418
22.9664,6397.9121
22.9834,6393.9875
23.0004,6390.0682
23.0174,6386.1545
23.0344,6382.2465
23.0514,6378.3445
23.0684,6374.4488
23.0854,6370.4429
23.1024,6366.4438
23.1194,6362.4519
23.1364,6358.4674
23.1534,6354.4907
23.1704,6350.5222
23.1874,6346.5622
23.2044,6342.6112
23.2214,6338.6695
23.2384,6334.7377
23.2554,6330.8163
23.2724,6326.9057
23.2894,6323.0066
23.3064,6319.1195
23.3234,6315.245
23.3404,6314.5299
23.3574,6313.829
23.3744,6313.1431
23.3914,6312.4732
23.4084,6311.8201
23.4254,6311.1852
23.4424,6310.5696
23.4594,6309.9747
23.4764,6309.4021
23.4934,6308.8535
23.5104,6308.3311
23.5274,6307.837
23.5444,6307.3739
23.5614,6306.945
23.5784,6306.5536
23.5954,6306.0554
23.6124,6305.6034
23.6294,6305.2033
23.6464,6304.8611
23.6634,6304.5842
23.6804,6304.3808
23.6974,6304.2605
23.7144,6304.2343
23.7314,6304.3145
23.7484,6304.5154
23.7654,6304.8528
23.7824,6305.3446
23.7994,6306.0107
23.8164,6306.8732
23.8334,6307.9565
23.8504,6309.287
23.8674,6310.8933
23.8844,6312.8063
23.9014,6315.0586
23.9184,6317.6846
23.9354,6320.7202
23.9524,6324.202
23.9694,6328.1672
23.9864,6332.6529
24.0034,6337.6954
24.0204,6343.3295
24.0374,6349.5876
24.0544,6356.4987
24.0714,6364.0875
24.0884,6372.3736
24.1054,6381.2214
24.1224,6390.785
24.1394,6401.0612
24.1564,6412.0369
24.1734,6423.6876
24.1904,6435.9762
24.2074,6448.8516
24.2244,6462.2468
24.2414,6476.077
24.2584,6490.2383
24.2754,6504.6051
24.2924,6519.0289
24.3094,6533.3367
24.3264,6547.3306
24.3434,6560.7888
24.3604,6573.3206
24.3774,6584.8146
24.3944,6595.0042
24.4114,6603.6261
24.4284,6610.4338
24.4454,6615.2123
24.4624,6617.7924
24.4794,6618.0626
24.4964,6615.9775
24.5134,6611.5611
24.5304,6604.9042
24.5474,6596.1574
24.5644,6585.5197
24.5814,6573.2255
24.5984,6559.53
24.6154,6544.5062
24.6324,6528.604
24.6494,6512.0705
24.6664,6495.1346
24.6834,6478.0027
24.7004,6460.8573
24.7174,6443.857
24.7344,6427.1367
24.7514,6410.8096
24.7684,6394.9688
24.7854,6379.6892
24.8024,6365.0288
24.8194,6351.031
24.8364,6337.7258
24.8534,6325.1314
24.8704,6313.0851
24.8874,6301.7555
24.9044,6291.1331
24.9214,6281.2012
24.9384,6271.9376
24.9554,6263.3153
24.9724,6255.3036
24.9894,6247.8691
25.0064,6240.9763
25.0234,6234.5889
25.0404,6228.6701
25.0574,6223.1833
