2Theta,Intensity
20.0084,7218.0
20.0254,7277.3068
20.0424,7189.7079
20.0594,7425.3287
20.0764,7275.2554
20.0934,7167.0656
20.1104,7385.7056
20.1274,7174.6194
20.1444,7227.3738
20.1614,7199.9596
20.1784,7166.7803
20.1954,7263.6411
20.2124,7151.3551
20.2294,7232.7754
20.2464,7223.534
20.2634,7162.7903
20.2804,7058.3654
20.2974,7052.7488
20.3144,7095.3059
20.3314,7147.0248
20.3484,7208.7331
20.3654,7189.5844
20.3824,7080.9183
20.3994,7069.0131
20.4164,7119.4915
20.4334,7131.9367
20.4504,7060.2305
20.4674,7052.5412
20.4844,7177.9698
20.5014,7209.7309
20.5184,7086.665
20.5354,7144.5606
20.5524,7104.1972
20.5694,7073.3411
20.5864,7087.1391
20.6034,7065.1151
20.6204,7038.7182
20.6374,7050.6531
20.6544,7033.7987
20.6714,7034.1719
20.6884,7104.1994
20.7054,7115.7072
20.7224,6995.0713
20.7394,6961.6582
20.7564,7072.1904
20.7734,7133.2123
20.7904,7080.5974
20.8074,7249.335
20.8244,6985.9787
20.8414,7027.1322
20.8584,6954.4286
20.8754,7003.4434
20.8924,6871.8439
20.9094,6985.1157
20.9264,7096.8301
20.9434,7159.1156
20.9604,6943.3344
20.9774,6977.3626
20.9944,7028.8802
21.0114,6966.3411
21.0284,6683.8124
21.0454,6790.5801
21.0624,6901.0863
21.0794,6861.2463
21.0964,7086.1445
21.1134,6892.8572
21.1304,6991.8112
21.1474,6882.3305
21.1644,6976.3102
21.1814,6912.9568
21.1984,6923.1302
21.2154,6854.9843
21.2324,6808.1443
21.2494,6804.8922
21.2664,6911.0652
21.2834,7000.678
21.3004,6835.9074
21.3174,6871.3481
21.3344,6889.2069
21.3514,6927.5403
21.3684,6903.214
21.3854,6869.9974
21.4024,6879.2515
21.4194,6798.1531
21.4364,6759.0784
21.4534,6855.8744
21.4704,6809.4124
21.4874,6742.9054
21.5044,6699.3763
21.5214,6749.3546
21.5384,6810.0051
21.5554,6700.1312
21.5724,6694.6927
21.5894,6747.2136
21.6064,6806.041
21.6234,6774.2971
21.6404,6807.4758
21.6574,6718.953
21.6744,6726.2411
21.6914,6731.133
21.7084,6740.6496
21.7254,6817.2887
21.7424,6770.8668
21.7594,6821.5024
21.7764,6690.5942
21.7934,6678.0528
21.8104,6732.2228
21.8274,6591.7791
21.8444,6597.0414
21.8614,6618.782
21.8784,6702.949
21.8954,6598.1908
21.9124,6646.9109
21.9294,6710.047
21.9464,6650.9425
21.9634,6601.6275
21.9804,6754.4913
21.9974,6634.5156
22.0144,6663.155
22.0314,6776.2622
22.0484,6537.6042
22.0654,6654.2892
22.0824,6604.519
22.0994,6590.2574
22.1164,6642.2607
22.1334,6662.2952
22.1504,6525.6448
22.1674,6596.4086
22.1844,6530.2498
22.2014,6599.7119
22.2184,6613.1638
22.2354,6653.5067
22.2524,6600.7162
22.2694,6600.7803
22.2864,6539.4114
22.3034,6547.8315
22.3204,6486.5031
22.3374,6634.7561
22.3544,6609.8199
22.3714,6556.3955
22.3884,6600.6793
22.4054,6563.4892
22.4224,6533.5399
22.4394,6465.6408
22.4564,6414.041
22.4734,6409.1892
22.4904,6478.2082
22.5074,6510.4251
22.5244,6455.6613
