2Theta,Intensity
20.02535563,16447.5052554602
20.04235563,16590.8293259419
20.05935563,16594.4071745387
20.07635563,16256.3875961591
20.09335563,16519.0784395341
20.11035563,16391.3413481091
20.12735563,16367.9292474716
20.14435563,16344.1574022238
20.16135563,16588.495664842
20.17835563,16453.271976034
20.19535563,16338.1244890126
20.21235563,16534.6448569045
20.22935563,16465.1288919523
20.24635563,16491.2773622806
20.26335563,16414.2694136988
20.28035563,16353.7980547637
20.29735563,16393.0135334068
20.31435563,16359.9810803432
20.33135563,16310.1269883362
20.34835563,16315.6916281138
20.36535563,16465.5839565739
20.38235563,16486.47418285
20.39935563,16398.9555925544
20.41635563,16281.3389843454
20.43335563,16255.6206140023
20.45035563,16275.4218898272
20.46735563,16137.3115929441
20.48435563,16155.1939240958
20.50135563,16421.203911857
20.51835563,16282.6787629767
20.53535563,16198.9727976196
20.55235563,16345.3028500728
20.56935563,16200.2321700997
20.58635563,16168.7525914525
20.60335563,16125.3368191532
20.62035563,16129.5053184649
20.63735563,16041.1135904963
20.65435563,16093.6837425366
20.67135563,15997.9337859746
20.68835563,16065.514250364
20.70535563,16212.4639965172
20.72235563,16031.2045801234
20.73935563,15972.2881347841
20.75635563,15834.7988490497
20.77335563,15992.7031853527
20.79035563,16285.4573558301
20.80735563,16140.5517746336
20.82435563,16132.8076453819
20.84135563,16013.1628610327
20.85835563,15991.7277623864
20.87535563,16071.3042935343
20.89235563,16233.835758514
20.90935563,15979.0329227585
20.92635563,15918.5463158317
20.94335563,15941.6572714375
20.96035563,16139.4120280823
20.97735563,16112.5159649522
20.99435563,15952.0063065489
21.01135563,15957.1899182991
21.02835563,16061.5482919996
21.04535563,15904.7826081971
21.06235563,16112.3362329858
21.07935563,15904.026010948
21.09635563,15982.0867222508
21.11335563,15901.4038083702
21.13035563,16158.6271382239
21.14735563,15794.0794132972
21.16435563,15998.3643461179
21.18135563,15908.3019297672
21.19835563,15962.2471374207
21.21535563,16028.6891383338
21.23235563,15888.4150696629
21.24935563,15687.3605293455
21.26635563,15761.9735823619
21.28335563,15804.9576412743
21.30035563,15613.9776607138
21.31735563,15743.2550134507
21.33435563,15777.8053007125
21.35135563,15624.1667847269
21.36835563,15732.3175749053
21.38535563,15700.1113432016
21.40235563,15712.7284306561
21.41935563,15643.5957753925
21.43635563,15790.8573035141
21.45335563,15679.7202300384
21.47035563,15515.7627052266
21.48735563,15721.3923771475
21.50435563,15761.5568362994
21.52135563,15666.3114573807
21.53835563,15682.3145428751
21.55535563,15738.2029915548
21.57235563,15675.8524595143
21.58935563,15638.9136748888
21.60635563,15633.284327559
21.62335563,15629.2619882728
21.64035563,15677.1537210184
21.65735563,15623.295894345
21.67435563,15625.1263926219
21.69135563,15632.7636980875
21.70835563,15650.832871591
21.72535563,15610.572399335
21.74235563,15552.8348477589
21.75935563,15433.9750449144
21.77635563,15400.8125084727
21.79335563,15514.7952213017
21.81035563,15498.597165393
21.82735563,15616.4571572585
21.84435563,15618.2163989454
21.86135563,15394.1847497116
21.87835563,15549.6104181258
21.89535563,15611.301731199
21.91235563,15464.4498864902
21.92935563,15620.6650119041
21.94635563,15376.8912286775
21.96335563,15604.8754918931
21.98035563,15405.3825975049
21.99735563,15497.0526176104
22.01435563,15533.2558363782
22.03135563,15246.4269419391
22.04835563,15325.4722066821
22.06535563,15388.1602891503
22.08235563,15457.2272974617
22.09935563,15482.5843728112
22.11635563,15270.2002210976
22.13335563,15430.8969299713
22.15035563,15407.0693625279
22.16735563,15524.6334886899
22.18435563,15528.5387013814
22.20135563,15431.9745847665
22.21835563,15267.8212074302
22.23535563,15034.0694980881
22.25235563,15090.7548292
22.26935563,15076.3602047578
22.28635563,15194.0582998067
22.30335563,15391.2639205268
22.32035563,15182.5517020786
22.33735563,15312.7016502416
22.35435563,15353.9968896861
22.37135563,15133.1370200147
22.38835563,15199.6831029084
22.40535563,15117.7445798591
22.42235563,15247.4117474051
22.43935563,15305.9185570739
22.45635563,15300.0114121284
22.47335563,15276.1493467202
22.49035563,15103.5396216836
22.50735563,15082.5128068993
22.52435563,15117.2697382865
22.54135563,15256.2117783398
22.55835563,15312.3180980678
22.57535563,15139.6410687737
22.59235563,15014.9424562906
22.60935563,15099.3127557284
22.62635563,15186.3946874502
22.64335563,15174.8787320452
22.66035563,15124.4532965724
22.67735563,15053.8433920586
22.69435563,15096.9579467678
22.71135563,15056.7457712881
22.72835563,15122.9082790916
22.74535563,15064.7949788164
22.76235563,15010.6389474952
22.77935563,15108.2965969815
22.79635563,14765.2466619973
22.81335563,15104.6418496873
22.83035563,15080.642502688
22.84735563,15246.6140897876
22.86435563,14824.9980811151
22.88135563,14973.8625446536
22.89835563,14924.4590799623
22.91535563,15086.0784204397
22.93235563,14834.5424016847
22.94935563,14858.6489257093
22.96635563,15015.4387168471
22.98335563,14929.4291701395
23.00035563,15025.7095109993
23.01735563,14923.8953509465
23.03435563,14899.8158020858
23.05135563,14846.9882785562
23.06835563,15045.9365659726
23.08535563,14850.9062399156
23.10235563,14938.3208685217
23.11935563,14816.310401515
23.13635563,14829.3008929993
23.15335563,14739.1963604148
23.17035563,14766.27747875
23.18735563,14901.3319999761
23.20435563,15050.3446226279
23.22135563,15020.2268850464
23.23835563,14752.345029318
23.25535563,14792.3047345879
23.27235563,14888.221533163
23.28935563,14820.6616743772
23.30635563,14792.6661498722
23.32335563,14724.9592107553
23.34035563,14743.4844130965
23.35735563,14833.2295352091
23.37435563,14901.9873677979
23.39135563,14965.0199125144
23.40835563,14860.1160363624
23.42535563,14922.8783597217
23.44235563,14988.5534357644
23.45935563,14828.712732054
23.47635563,14870.9589835422
23.49335563,14927.1947909371
23.51035563,14936.6698119868
23.52735563,14974.3764265161
23.54435563,15005.1560847821
23.56135563,14852.9685684322
23.57835563,14841.5017537284
23.59535563,14988.3810089329
23.61235563,15053.9085502184
23.62935563,15029.3535736178
23.64635563,15018.1844690378
23.66335563,14953.5339108459
23.68035563,14897.7213298179
23.69735563,15009.8760780604
23.71435563,14978.1804097833
23.73135563,14939.540207851
23.74835563,14875.7202834962
23.76535563,15099.1412682967
23.78235563,15210.4942748415
23.79935563,15256.116404864
23.81635563,15187.1638538902
23.83335563,15205.2863571845
23.85035563,15145.6679904767
23.86735563,15126.0917113612
23.88435563,15175.7221050095
23.90135563,15465.0161835696
23.91835563,15354.3206069421
23.93535563,15396.5920311754
23.95235563,15692.7134633351
23.96935563,15547.0106082952
23.98635563,15774.3985042226
24.00335563,15760.457825525
24.02035563,15753.5503846365
24.03735563,15795.3200264998
24.05435563,16023.9399474164
24.07135563,16068.1542537248
24.08835563,16089.7630641843
24.10535563,16362.2400804962
24.12235563,16560.8432373974
24.13935563,16694.226411526
24.15635563,16929.3434216517
24.17335563,17147.3034610595
24.19035563,17322.9302689706
24.20735563,17286.4758745181
24.22435563,17703.1881311556
24.24135563,17871.6172191958
24.25835563,18182.2786224463
24.27535563,18508.2814559083
24.29235563,18795.4631010345
24.30935563,19130.6928787288
24.32635563,19448.1119198177
24.34335563,19701.5350163504
24.36035563,20047.1909989842
24.37735563,20258.4927492776
24.39435563,20461.9830087708
24.41135563,20659.988549683
24.42835563,20903.1386868671
24.44535563,21005.9580479678
24.46235563,20989.7352317262
24.47935563,20831.02601477
24.49635563,20582.0835832988
24.51335563,20398.2431068003
24.53035563,20030.1016399364
24.54735563,19528.627205054
24.56435563,19240.1131494395
24.58135563,19208.7257862144
24.59835563,19003.8885059627
24.61535563,18549.78855007
24.63235563,18401.5912464365
24.64935563,17915.281158059
24.66635563,17499.3111805288
24.68335563,17382.9353649995
24.70035563,16995.1427728596
24.71735563,16727.9632451935
24.73435563,16650.6601048996
24.75135563,16513.1882418995
24.76835563,16275.5663295394
24.78535563,16180.2792124357
24.80235563,16034.0504810598
24.81935563,15822.7429760148
24.83635563,15863.3860075871
24.85335563,15754.4846498566
24.87035563,15631.0905485737
24.88735563,15465.8181219357
