"No.","Pos. [°2θ]","Q [1/Å]","Icalc [cts]","Iback [cts]","ESD","D spacings","CT [s]","Intensity [Counts]"
"1","20.0084","1.4170","16696.5361","16689.0000","129.1859","4.4341","99.6950","16689.0000"
"2","20.0254","1.4182","16679.3256","16671.7317","128.2478","4.4304","99.6950","16447.5053"
"3","20.0424","1.4194","16662.1159","16654.4634","128.8054","4.4267","99.6950","16590.8293"
"4","20.0594","1.4206","16644.9068","16637.1951","128.8193","4.4230","99.6950","16594.4072"
"5","20.0764","1.4218","16627.6983","16619.9268","127.5005","4.4193","99.6950","16256.3876"
"6","20.0934","1.4230","16610.4906","16602.6584","128.5266","4.4156","99.6950","16519.0784"
"7","20.1104","1.4242","16593.2836","16585.3901","128.0287","4.4119","99.6950","16391.3413"
"8","20.1274","1.4253","16576.0774","16568.1218","127.9372","4.4082","99.6950","16367.9292"
"9","20.1444","1.4265","16558.8718","16550.8535","127.8443","4.4045","99.6950","16344.1574"
"10","20.1614","1.4277","16541.6670","16533.5852","128.7963","4.4008","99.6950","16588.4957"
"11","20.1784","1.4289","16524.4630","16516.3169","128.2703","4.3972","99.6950","16453.2720"
"12","20.1954","1.4301","16507.2597","16499.0486","127.8207","4.3935","99.6950","16338.1245"
"13","20.2124","1.4313","16490.0572","16481.7803","128.5871","4.3898","99.6950","16534.6449"
"14","20.2294","1.4325","16472.8555","16464.5120","128.3165","4.3862","99.6950","16465.1289"
"15","20.2464","1.4337","16455.6546","16447.2437","128.4184","4.3826","99.6950","16491.2774"
"16","20.2634","1.4349","16438.4545","16429.9753","128.1182","4.3789","99.6950","16414.2694"
"17","20.2804","1.4361","16425.4850","16416.9368","127.8820","4.3753","99.6950","16353.7981"
"18","20.2974","1.4373","16412.5164","16403.8982","128.0352","4.3717","99.6950","16393.0135"
"19","20.3144","1.4384","16399.5486","16390.8597","127.9061","4.3680","99.6950","16359.9811"
"20","20.3314","1.4396","16386.5817","16377.8211","127.7111","4.3644","99.6950","16310.1270"
"21","20.3484","1.4408","16373.6157","16364.7826","127.7329","4.3608","99.6950","16315.6916"
"22","20.3654","1.4420","16360.6506","16351.7440","128.3183","4.3572","99.6950","16465.5840"
"23","20.3824","1.4432","16347.6864","16338.7055","128.3997","4.3536","99.6950","16486.4742"
