2Theta,Intensity
20.0084,7218.0
20.0254,7211.7054
20.0424,7205.4109
20.0594,7199.1163
20.0764,7192.8218
20.0934,7186.5272
20.1104,7180.2327
20.1274,7173.9381
20.1444,7167.6435
20.1614,7161.349
20.1784,7155.0544
20.1954,7148.7599
20.2124,7142.4653
20.2294,7136.1708
20.2464,7129.8762
20.2634,7123.5816
20.2804,7117.1283
20.2974,7110.675
20.3144,7104.2217
20.3314,7097.7685
20.3484,7091.3152
20.3654,7084.8619
20.3824,7078.4086
20.3994,7071.9553
20.4164,7065.502
20.4334,7059.0487
20.4504,7052.5954
20.4674,7046.1421
20.4844,7039.6888
20.5014,7033.2355
20.5184,7026.7822
20.5354,7020.3289
20.5524,7013.8756
20.5694,7007.4223
20.5864,7000.969
20.6034,6994.5157
20.6204,6988.0624
20.6374,6981.6091
20.6544,6975.1558
20.6714,6968.7025
20.6884,6962.2492
20.7054,6955.7959
20.7224,6949.3426
20.7394,6942.8893
20.7564,6936.436
20.7734,6929.9827
20.7904,6923.3707
20.8074,6916.7587
20.8244,6910.1466
20.8414,6903.5346
20.8584,6896.9226
20.8754,6890.3105
20.8924,6883.6985
20.9094,6877.0865
20.9264,6870.4744
20.9434,6863.8624
20.9604,6857.2504
20.9774,6850.6383
20.9944,6844.0263
21.0114,6837.4142
21.0284,6830.8022
21.0454,6827.1982
21.0624,6823.5942
21.0794,6819.9902
21.0964,6816.3862
21.1134,6812.7821
21.1304,6809.1781
21.1474,6805.5741
21.1644,6801.9701
21.1814,6798.3661
21.1984,6794.7621
21.2154,6791.1581
21.2324,6787.5541
21.2494,6783.95
21.2664,6780.346
21.2834,6776.742
21.3004,6772.9995
21.3174,6769.257
21.3344,6765.5144
21.3514,6761.7719
21.3684,6758.0294
21.3854,6754.2868
21.4024,6750.5443
21.4194,6746.8018
21.4364,6743.0593
21.4534,6739.3167
21.4704,6735.5742
21.4874,6731.8317
21.5044,6728.0891
21.5214,6724.3466
21.5384,6720.6041
21.5554,6716.8616
21.5724,6713.119
21.5894,6709.3765
21.6064,6705.634
21.6234,6701.8914
21.6404,6698.1489
21.6574,6694.4064
21.6744,6690.6638
21.6914,6686.9213
21.7084,6683.1788
21.7254,6679.4363
21.7424,6675.6937
21.7594,6671.9512
21.7764,6668.2087
21.7934,6664.4661
21.8104,6660.5851
21.8274,6656.7041
21.8444,6652.823
21.8614,6648.942
21.8784,6645.0609
21.8954,6641.1799
21.9124,6637.2988
21.9294,6633.4178
21.9464,6629.5367
21.9634,6625.6557
21.9804,6621.7747
21.9974,6617.8936
22.0144,6614.0126
22.0314,6610.1315
22.0484,6606.2505
22.0654,6602.198
22.0824,6598.1455
22.0994,6594.0929
22.1164,6590.0404
22.1334,6585.9879
22.1504,6581.9354
22.1674,6577.8829
22.1844,6573.8304
22.2014,6569.7779
22.2184,6565.7254
22.2354,6561.6729
22.2524,6557.6203
22.2694,6553.5678
22.2864,6549.5153
22.3034,6545.4628
22.3204,6541.472
22.3374,6537.4811
22.3544,6533.4902
22.3714,6529.4994
22.3884,6525.5085
22.4054,6521.5176
22.4224,6517.5268
22.4394,6513.5359
22.4564,6509.545
22.4734,6505.5542
22.4904,6501.5633
22.5074,6497.5724
22.5244,6493.5816
22.5414,6489.5907
22.5584,6485.5998
22.5754,6481.4922
22.5924,6477.3847
22.6094,6473.2771
22.6264,6469.1695
22.6434,6465.0619
22.6604,6460.9544
22.6774,6456.8468
22.6944,6452.7392
22.7114,6448.6316
22.7284,6444.5241
22.7454,6440.4165
22.7624,6436.3089
22.7794,6432.2013
22.7964,6428.0937
22.8134,6423.9862
22.8304,6419.8786
22.8474,6415.771
22.8644,6411.6634
22.8814,6407.5559
22.8984,6403.4483
22.9154,6399.3407
22.9324,6395.2331
22.9494,6391.1256
22.9664,6387.018
22.9834,6382.9104
23.0004,6378.8028
23.0174,6374.6953
23.0344,6370.5877
23.0514,6366.4801
23.0684,6362.3725
23.0854,6358.1482
23.1024,6353.924
23.1194,6349.6997
23.1364,6345.4754
23.1534,6341.2511
23.1704,6337.0268
23.1874,6332.8025
23.2044,6328.5782
23.2214,6324.3539
23.2384,6320.1297
23.2554,6315.9054
23.2724,6311.6811
23.2894,6307.4568
23.3064,6303.2325
23.3234,6299.0082
23.3404,6297.9298
23.3574,6296.8514
23.3744,6295.773
23.3914,6294.6946
23.4084,6293.6162
23.4254,6292.5379
23.4424,6291.4595
23.4594,6290.3811
23.4764,6289.3027
23.4934,6288.2243
23.5104,6287.1459
23.5274,6286.0675
23.5444,6284.9891
23.5614,6283.9107
23.5784,6282.8323
23.5954,6281.6054
23.6124,6280.3785
23.6294,6279.1516
23.6464,6277.9247
23.6634,6276.6978
23.6804,6275.4709
23.6974,6274.244
23.7144,6273.0171
23.7314,6271.7902
23.7484,6270.5633
23.7654,6269.3365
23.7824,6268.1096
23.7994,6266.8827
23.8164,6265.6558
23.8334,6264.4289
23.8504,6263.202
23.8674,6261.9751
23.8844,6260.7482
23.9014,6259.5213
23.9184,6258.2944
23.9354,6257.0675
23.9524,6255.8406
23.9694,6254.6137
23.9864,6253.3868
24.0034,6252.1599
24.0204,6250.9331
24.0374,6249.7062
24.0544,6248.4793
24.0714,6247.2524
24.0884,6246.0255
24.1054,6244.6501
24.1224,6243.2747
24.1394,6241.8993
24.1564,6240.5239
24.1734,6239.1485
24.1904,6237.7731
24.2074,6236.3977
24.2244,6235.0223
24.2414,6233.647
24.2584,6232.2716
24.2754,6230.8962
24.2924,6229.5208
24.3094,6228.1454
24.3264,6226.77
24.3434,6225.3946
24.3604,6223.8717
24.3774,6222.3487
24.3944,6220.8258
24.4114,6219.3028
24.4284,6217.7799
24.4454,6216.2569
24.4624,6214.734
24.4794,6213.211
24.4964,6211.6881
24.5134,6210.1651
24.5304,6208.6422
24.5474,6207.1193
24.5644,6205.5963
24.5814,6204.0734
24.5984,6202.5504
24.6154,6200.8373
24.6324,6199.1242
24.6494,6197.4112
24.6664,6195.6981
24.6834,6193.985
24.7004,6192.2719
24.7174,6190.5588
24.7344,6188.8457
24.7514,6187.1327
24.7684,6185.4196
24.7854,6183.7065
24.8024,6181.9934
24.8194,6180.2803
24.8364,6178.5672
24.8534,6176.8542
24.8704,6174.9707
24.8874,6173.0873
24.9044,6171.2039
24.9214,6169.3205
24.9384,6167.4371
24.9554,6165.5537
24.9724,6163.6703
24.9894,6161.7868
25.0064,6159.9034
25.0234,6158.02
25.0404,6156.1366
25.0574,6154.2532
25.0744,6152.3698
25.0914,6150.4863
25.1084,6148.6029
25.1254,6148.9811
25.1424,6149.3592
25.1594,6149.7373
25.1764,6150.1154
25.1934,6150.4936
25.2104,6150.8717
25.2274,6151.2498
25.2444,6151.6279
25.2614,6152.0061
25.2784,6152.3842
25.2954,6152.7623
25.3124,6153.1404
25.3294,6153.5186
25.3464,6153.8967
25.3634,6154.2748
25.3804,6154.5015
25.3974,6154.7283
25.4144,6154.955
25.4314,6155.1817
25.4484,6155.4084
25.4654,6155.6352
25.4824,6155.8619
25.4994,6156.0886
25.5164,6156.3154
25.5334,6156.5421
25.5504,6156.7688
25.5674,6156.9955
25.5844,6157.2223
25.6014,6157.449
25.6184,6157.6757
25.6354,6157.7389
25.6524,6157.8022
25.6694,6157.8654
25.6864,6157.9286
25.7034,6157.9918
25.7204,6158.0551
25.7374,6158.1183
25.7544,6158.1815
25.7714,6158.2447
25.7884,6158.308
25.8054,6158.3712
25.8224,6158.4344
25.8394,6158.4976
25.8564,6158.5609
25.8734,6158.6241
25.8904,6158.5102
25.9074,6158.3963
25.9244,6158.2824
25.9414,6158.1685
25.9584,6158.0546
25.9754,6157.9407
25.9924,6157.8268
26.0094,6157.7129
26.0264,6157.599
26.0434,6157.4851
26.0604,6157.3712
26.0774,6157.2573
26.0944,6157.1434
26.1114,6157.0295
26.1284,6156.9156
26.1454,6156.6199
26.1624,6156.3242
26.1794,6156.0284
26.1964,6155.7327
26.2134,6155.437
26.2304,6155.1412
26.2474,6154.8455
26.2644,6154.5498
26.2814,6154.254
26.2984,6153.9583
26.3154,6153.6626
26.3324,6153.3668
26.3494,6153.0711
26.3664,6152.7754
26.3834,6152.4796
26.4004,6152.0047
26.4174,6151.5298
26.4344,6151.0549
26.4514,6150.58
26.4684,6150.1051
26.4854,6149.6302
26.5024,6149.1553
26.5194,6148.6804
26.5364,6148.2055
26.5534,6147.7305
26.5704,6147.2556
26.5874,6146.7807
26.6044,6146.3058
26.6214,6145.8309
26.6384,6145.356
26.6554,6144.7078
26.6724,6144.0597
26.6894,6143.4115
26.7064,6142.7634
26.7234,6142.1152
26.7404,6141.467
26.7574,6140.8189
26.7744,6140.1707
26.7914,6139.5226
26.8084,6138.8744
26.8254,6138.2263
26.8424,6137.5781
26.8594,6136.9299
26.8764,6136.2818
26.8934,6135.6336
26.9104,6134.8192
26.9274,6134.0049
26.9444,6133.1905
26.9614,6132.3761
26.9784,6131.5617
26.9954,6130.7473
27.0124,6129.9329
27.0294,6129.1185
27.0464,6128.3041
27.0634,6127.4897
27.0804,6126.6753
27.0974,6125.861
27.1144,6125.0466
27.1314,6124.2322
27.1484,6123.4178
27.1654,6122.444
27.1824,6121.4703
27.1994,6120.4965
27.2164,6119.5227
27.2334,6118.5489
27.2504,6117.5752
27.2674,6116.6014
27.2844,6115.6276
27.3014,6114.6539
27.3184,6113.6801
27.3354,6112.7063
27.3524,6111.7326
27.3694,6110.7588
27.3864,6109.785
27.4034,6108.8113
27.4204,6107.8375
27.4374,6106.8637
27.4544,6105.89
27.4714,6104.9162
27.4884,6103.9424
27.5054,6102.9686
27.5224,6101.9949
27.5394,6101.0211
27.5564,6100.0473
27.5734,6099.0736
27.5904,6098.0998
27.6074,6097.126
27.6244,6096.1523
27.6414,6095.1785
27.6584,6094.2047
27.6754,6093.0716
27.6924,6091.9384
27.7094,6090.8053
27.7264,6089.6721
27.7434,6088.539
27.7604,6087.4058
27.7774,6086.2727
27.7944,6085.1395
27.8114,6084.0064
27.8284,6082.8733
27.8454,6081.7401
27.8624,6080.607
27.8794,6079.4738
27.8964,6078.3407
27.9134,6077.2075
27.9304,6075.9218
27.9474,6074.6362
27.9644,6073.3505
27.9814,6072.0648
27.9984,6070.7791
28.0154,6069.4935
28.0324,6068.2078
28.0494,6066.9221
28.0664,6065.6364
28.0834,6064.3508
28.1004,6063.0651
28.1174,6061.7794
28.1344,6060.4938
28.1514,6059.2081
28.1684,6057.9224
28.1854,6056.4909
28.2024,6055.0594
