2Theta,Intensity
26.61,1000.0
26.68,500.0
43.45,139.6
43.57,69.8
46.32,91.0
46.44,45.5
54.81,69.3
54.96,34.6
56.68,56.9
56.83,28.4
63.68,20.9
63.85,10.4
77.70,54.1
77.93,27.1
80.74,16.8
80.98,8.4
83.85,81.9
84.11,41.0
87.33,11.5
87.60,5.8
90.89,4.4
91.18,2.2
93.50,7.4
93.80,3.7
95.53,5.8
95.84,2.9
102.16,41.6
102.51,20.8
103.74,6.2
104.11,3.1
110.09,3.0
110.50,1.5
116.06,5.7
116.52,2.9
128.75,3.8
129.35,1.9
133.36,1.0
134.02,0.5
134.02,3.0
134.70,1.5
137.76,17.7
138.51,8.8
143.38,1.2
144.25,0.6
147.99,4.1
149.00,2.0
152.04,3.3
153.20,1.6
