2Theta,Intensity
23.8888,500.0
33.4131,154.0
33.4986,77.0
34.4816,82.4
34.5700,41.2
40.1569,117.8
40.2610,58.9
40.5452,0.1
40.6504,0.1
42.3482,21.1
42.4585,10.6
48.7741,206.6
48.9032,103.3
54.2535,218.3
54.3113,18.3
54.3994,109.2
54.4574,9.1
55.7106,128.0
55.8612,64.0
59.0307,28.5
59.1919,14.3
61.0964,65.4
61.2645,32.7
61.7758,65.9
61.9462,32.9
64.9562,8.5
65.1376,4.3
70.1909,54.4
70.3911,27.2
72.7087,25.3
72.9184,12.6
73.4969,10.2
73.7097,5.1
74.0694,28.4
74.2844,14.2
74.7377,4.7
74.9553,2.3
76.2784,2.2
76.5022,1.1
76.5371,18.6
76.5853,12.3
76.7619,9.3
76.8103,6.1
77.7611,62.6
77.9909,31.3
80.6076,26.8
80.8494,13.4
82.4176,13.4
82.6672,6.7
84.3311,4.2
84.5892,2.1
85.8754,7.9
86.1406,4.0
86.7253,22.2
86.9945,11.1
87.7321,12.1
87.9200,13.6
88.0061,6.0
88.1949,6.8
92.5069,10.2
92.8048,5.1
94.4111,24.6
94.7191,12.3
95.0569,5.8
95.3684,2.9
96.8568,0.1
97.1783,0.0
97.8234,10.6
98.0129,9.2
98.1504,5.3
98.3411,4.6
100.8472,9.6
101.1923,4.8
102.5314,1.7
102.6757,33.0
102.8871,0.8
103.0323,16.5
103.2880,14.9
103.6486,7.5
104.0643,0.8
104.4299,0.4
106.2279,0.1
106.6082,0.0
106.8504,0.7
107.2350,0.4
111.3388,8.4
111.4576,12.0
111.7569,4.2
111.8766,6.0
115.3595,30.1
115.8110,15.0
116.0739,0.1
116.5317,0.0
118.0313,45.4
118.5071,22.7
119.1767,28.6
119.3920,1.6
119.6635,14.3
119.8809,0.8
122.4876,1.4
122.6547,32.1
122.7862,3.7
123.0086,0.7
123.1776,16.1
123.3104,1.8
124.6359,4.2
124.8072,24.2
125.1811,2.1
125.3544,12.1
125.5372,6.9
126.0931,3.5
127.1562,10.8
127.7321,5.4
129.8857,2.7
130.2756,2.8
130.4982,1.4
130.8937,1.4
131.5442,24.1
131.7955,32.1
132.1808,12.0
132.4360,16.0
132.5599,3.2
133.2121,1.6
135.8236,26.0
136.5306,13.0
138.2889,14.8
139.0428,7.4
139.9952,9.4
140.3617,0.8
140.7849,4.7
141.1595,0.4
141.2315,13.3
142.0490,6.7
143.7589,3.5
144.6393,1.8
145.2190,38.1
145.3013,0.6
146.1399,19.1
146.2246,0.3
147.3696,41.7
148.3569,20.8
152.6856,7.0
152.9941,43.1
153.8832,3.5
154.2065,21.6
156.8887,0.1
157.2501,29.7
158.3254,0.1
158.7118,14.9
160.3362,46.3
162.0535,23.1
165.1516,8.2
167.5256,4.1
169.1820,1.8
172.7894,0.9
