2Theta,Intensity
18.425,1.2
19.208,3.5
22.992,85.9
25.39,1.9
25.39,1.9
25.772,0.7
27.103,100
29.028,32.7
31.841,0.2
35.595,8.1
35.806,1.3
36.065,6.6
37.35,4.3
37.827,0.2
38.158,8.8
38.984,0.3
39.203,1.3
41.392,5.1
41.715,0.3
42.332,0.1
45.282,1.5
45.773,1.3
46.124,6.2
46.124,6.2
46.657,17.6
46.98,23.5
48.429,2
49.294,1.5
50.286,25
51.622,0.5
52.147,0.9
52.147,0.9
52.285,3.7
52.978,4.6
54.743,10.6
54.89,2.6
55.415,9.9
55.811,8.8
55.892,12.2
56.177,13.8
56.177,13.8
57.409,0.2
57.65,0.9
60.163,3.2
60.914,2.9
61.543,1.9
61.792,1.9
61.792,1.9
62.03,0.1
63.103,1.4
63.261,0.2
63.36,0.3
64.268,0.6
64.461,0.1
64.574,0.1
65.285,1.6
65.285,1.6
65.649,0.2
66.392,0.9
66.542,0.8
67.277,0.1
67.548,0.6
67.548,0.6
67.775,3
67.775,3
68.962,4.5
69.371,0.3
69.822,0.3
69.822,0.3
70.973,5.3
