2Theta,Intensity
19.078,100
25.754,99.4
25.754,99.4
25.866,97.2
33.541,16.6
34.674,6.6
37.659,1
37.896,6
37.896,6
38.712,13.1
38.712,13.1
39.025,0.9
39.948,16.7
39.948,16.7
42.62,20.9
42.62,20.9
42.906,0.8
49.012,27.2
49.012,27.2
51.89,1.3
52.381,0.4
52.939,10.8
52.939,10.8
53.182,10.5
55.054,7.5
55.355,24
55.355,24
55.531,8.8
55.531,8.8
56.942,10.7
56.942,10.7
59.624,4.6
62.536,2.1
62.536,2.1
63.027,1.1
63.923,3.3
64.121,6.2
64.121,6.2
64.354,6.2
64.354,6.2
67.622,0.2
67.622,0.2
67.834,0.3
69.864,2.7
70.49,4.3
