specific_capacity_discharge,voltage_discharge,specific_power_discharge
0.0,3.51258,-132.03535727476955
0.1043408935452106,3.49156,-131.21100728990044
0.2086817870904116,3.48563,-131.04657239698216
0.3130226806356125,3.48151,-130.89167589956978
0.4173635741808134,3.47819,-130.719567148133
0.5217044677260242,3.47528,-130.63327708688803
0.6260453612712251,3.47275,-130.51511757945332
0.7303862548164262,3.47041,-130.5599462816097
0.8347271483616369,3.46833,-130.42138003516305
0.9390680419068378,3.4664,-130.24139510189147
1.0434089354520388,3.46458,-130.14124515835272
1.147661999962276,3.46288,-130.1343227281692
1.2520028935074772,3.46127,-130.08585765734108
1.356343787052678,3.45969,-130.0647626004255
1.4606846805978886,3.4582,-129.98578501775708
1.5650255741430896,3.45676,-129.978656612326
1.669366467688291,3.45536,-129.91071935857465
1.7737073612335013,3.45402,-129.79699730808832
1.878048254778702,3.45274,-129.78601468917088
1.9823891483239031,3.45149,-129.75103247272244
2.0867300418691044,3.45032,-129.70704894445112
2.1910709354143147,3.44918,-129.64020049740947
2.295411828959516,3.44803,-129.60569853363737
2.399752722504717,3.4469,-129.58284113373503
2.504093616049927,3.44581,-129.5484007184427
2.608346680560155,3.4447,-129.4979559593848
2.7126875741053653,3.44359,-129.4290070479481
2.817028467650566,3.44252,-129.37137503203328
2.921369361195767,3.44142,-129.3398296749825
3.025710254740968,3.4404,-129.30910934453885
3.1300511482861784,3.43939,-129.25157332856983
3.2343920418313785,3.43842,-129.22273115318103
3.33873293537658,3.43749,-129.21277815123003
3.4430738289217904,3.43651,-129.24113493278205
3.547414722466991,3.43556,-129.0913486476193
3.651755616012191,3.43463,-129.0520599410149
3.756096509557402,3.43365,-129.08797731746458
3.860437403102603,3.43268,-129.0102665028044
3.964778296647804,3.43177,-128.9847465920556
4.069119190193004,3.43078,-128.95296075770185
4.173460083738215,3.42979,-128.8962295230447
4.277800977283416,3.42882,-128.9042253206475
4.382141870828616,3.42791,-128.83424735189095
4.486482764373827,3.42705,-128.8398504989783
4.590735828884054,3.42613,-128.79659680996264
4.695076722429255,3.42529,-128.73794356545687
4.799417615974466,3.42441,-128.7449307533931
4.903758509519666,3.42349,-128.6995176695104
5.008099403064868,3.42263,-128.61848940570056
5.112440296610078,3.42169,-128.57667397685626
5.216781190155278,3.42072,-128.5856506420953
5.321122083700479,3.41976,-128.52036959130908
5.425462977245691,3.41882,-128.49801453589592
5.52980387079089,3.41786,-128.4824652828421
5.634144764336091,3.41696,-128.44431137831037
5.738485657881292,3.4161,-128.4443873195098
5.842826551426503,3.41523,-128.33176719422912
5.947167444971704,3.41434,-128.31235857071928
6.051508338516904,3.41347,-128.31312147655257
6.1557614030271415,3.41259,-128.27464703363404
6.260102296572342,3.41171,-128.2458839423189
6.364443190117552,3.41078,-128.19582722072033
6.468784083662753,3.40979,-128.13705513193685
6.573124977207954,3.40884,-128.11536661879904
6.677465870753155,3.4079,-128.04879010942074
6.781806764298365,3.40694,-128.08058393691934
6.886147657843566,3.40603,-128.0280654974575
6.990488551388768,3.40507,-127.95106843774607
7.0948294449339775,3.40416,-127.96638546591302
7.1991703384791785,3.40323,-127.93788196209364
7.303511232024378,3.40234,-127.8947422196574
7.407852125569579,3.40137,-127.83999686728494
7.5121930191147905,3.40048,-127.82374921320292
7.616533912659991,3.39955,-127.75439427024546
7.720874806205192,3.3986,-127.70687303236004
7.825215699750402,3.39766,-127.72526566961837
7.929556593295603,3.39666,-127.66512014481496
8.033897486840804,3.39567,-127.61932124625012
8.138238380386014,3.39465,-127.57776662221195
8.242491444896242,3.39364,-127.58058341845964
8.346832338441441,3.39268,-127.51660261962296
8.451173231986653,3.39178,-127.4892099668984
8.555514125531852,3.39084,-127.4463726106953
8.659855019077053,3.3899,-127.41425775472392
8.764195912622265,3.389,-127.36864291981894
8.868536806167464,3.38802,-127.3446664954518
8.972877699712665,3.38707,-127.33359068114537
9.077218593257877,3.3861,-127.31425459668944
